0	libel	codeINSEE	2011-3 à 5 ans-Insee RP (compl	2011-F -3 à 5 ans-Insee RP (compl 	2011-G -3 à 5 ans-Insee RP (compl 	2011-F  Non scolarisée-3 à 5 ans-Insee RP (compl 	2011-G  Non scolarisé-3 à 5 ans-Insee RP (compl 	2011-3 à 5 ans Non scolarisé-Insee RP (compl 	2011-F   scolarisée-3 à 5 ans-Insee RP (compl 	2011-G   scolarisé-3 à 5 ans-Insee RP (compl 	2011-3 à 5 ans  scolarisé-Insee RP (compl 	2011-F -3 à 5 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -3 à 5 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-3 à 5 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2011-6 à 10 ans-Insee RP (compl,	2011-F,-6 à 10 ans-Insee RP (compl,	2011-G,-6 à 10 ans-Insee RP (compl,	2011-F, Non scolarisée-6 à 10 ans-Insee RP (compl,	2011-G, Non scolarisé-6 à 10 ans-Insee RP (compl,	2011-6 à 10 ans Non scolarisé-Insee RP (compl,	2011-F,  scolarisée-6 à 10 ans-Insee RP (compl,	2011-G,  scolarisé-6 à 10 ans-Insee RP (compl,	2011-6 à 10 ans  scolarisé-Insee RP (compl,	2011-F -6 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -6 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-6 à 10 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2011-3 à 10 ans-Insee RP (compl 	2011-F -3 à 10 ans-Insee RP (compl 	2011-G -3 à 10 ans-Insee RP (compl 	2011-F  Non scolarisée-3 à 10 ans-Insee RP (compl 	2011-G  Non scolarisé-3 à 10 ans-Insee RP (compl 	2011-3 à 10 ans Non scolarisé-Insee RP (compl 	2011-F   scolarisée-3 à 10 ans-Insee RP (compl 	2011-G   scolarisé-3 à 10 ans-Insee RP (compl 	2011-3 à 10 ans  scolarisé-Insee RP (compl 	2011-F -3 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -3 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-3 à 10 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2012 - Pop couverte 0-19ans - CPAM Trait  ARS	2012 - CMUC 0-19ans - CPAM Trait  ARS	2012 - Pop couverte 0-4ans - CPAM Trait  ARS	2012 - CMUC 0-4ans - CPAM Trait  ARS	2012 - Pop couverte 5-9ans - CPAM Trait  ARS	2012 - CMUC 5-9ans - CPAM Trait  ARS	2012 - Pop couverte 10-14ans - CPAM Trait  ARS	2012 - CMUC 10-14ans - CPAM Trait  ARS	2012 - Pop couverte 15-19ans - CPAM Trait  ARS	2012 - CMUC 15-19ans - CPAM Trait  ARS	2011 - Pop couverte 0-19ans - CPAM Trait  ARS	2011 - CMUC 0-19ans - CPAM Trait  ARS	2011 - Pop couverte 0-4ans - CPAM Trait  ARS	2011 - CMUC 0-4ans - CPAM Trait  ARS	2011 - Pop couverte 5-9ans - CPAM Trait  ARS	2011 - CMUC 5-9ans - CPAM Trait  ARS	2011 - Pop couverte 10-14ans - CPAM Trait  ARS	2011 - CMUC 10-14ans - CPAM Trait  ARS	2011 - Pop couverte 15-19ans - CPAM Trait  ARS	2011 - CMUC 15-19ans - CPAM Trait  ARS	Constante100	2012 - Pop couverte 0-14ans - CPAM Trait  ARS	2012 - CMUC 0-14ans - CPAM Trait  ARS	2011- 15-17 ans X Infra DNB-Insee RP 2011 (compl,	2011- 15-17 ans X DNB-Insee RP 2011 (compl,	2011- 15-17 ans X CAP BEP-Insee RP 2011 (compl,	2011- 15-17 ans X Bac ou équiv,-Insee RP 2011 (compl,	2011- 15-17 ans X Supérieur-Insee RP 2011 (compl,	2011- 15-17 ans X Total-Insee RP 2011 (compl,	2011- 2-16 ans dont Réft mén, Infra DNB Insee RP (compl,	2011- 2-16 ans dont Réft mén, DNB Insee RP (compl,	2011- 2-16 ans dont Réft mén, CAP BEP Insee RP (compl,	2011- 2-16 ans dont Réft mén, Bac ou Equiv, Insee RP (compl,	2011- 2-16 ans dont Réft mén, Dipl, supérieur Insee RP (compl,	2011- 2-16 ans dont Réft mén, Hors famille Insee RP (compl,	2011- 2-16 ans dont Réft mén, Total Insee RP (compl,	0
38	VILLETTE_GARE	693830401	84	38	46	-99999	-99999	-99999	38	46	84	10	1	11	124	53	71	-99999	-99999	-99999	53	71	124	3	8	11	208	91	117	-99999	-99999	-99999	91	117	208	13	9	22	329	18	126	7	95	6	61	2	47	3	309	27	111	12	91	7	58	3	49	5	100	282	15	16	16	3	6	-99999	42	44	3	54	34	221	-99999	356	0
39	RICHERAND-PETITES_SOEURS	693830402	91	50	41	3	-99999	3	47	41	88	12	1	13	160	97	63	6	-99999	6	91	63	154	20	21	41	251	147	104	9	-99999	9	138	104	242	32	22	54	599	79	169	21	160	22	155	18	115	18	594	68	160	16	164	20	146	15	124	17	100	484	61	12	78	1	4	3	99	104	16	92	64	190	-99999	466	0
40	POMPIDOU	693830403	54	30	24	-99999	6	6	30	18	48	3	3	5	57	36	21	-99999	-99999	-99999	36	21	57	3	-99999	3	111	66	45	-99999	6	6	66	39	105	6	3	8	164	14	54	6	46	6	42	2	22	-99999	170	15	55	5	50	8	43	2	22	-99999	100	142	14	-99999	21	-99999	-99999	-99999	21	14	-99999	24	27	118	-99999	183	0
41	BARABAN-FERRANDIERE	693830404	159	88	71	4	19	23	84	52	136	10	8	18	223	98	125	6	3	9	92	122	214	13	13	26	382	186	196	10	22	32	176	174	350	23	21	44	659	87	217	40	188	24	143	15	111	8	645	88	225	34	157	20	151	16	112	18	100	548	79	21	113	3	-99999	-99999	137	88	31	125	92	353	-99999	689	0
42	SAINT_ANNE_DE_BARABAN	693830405	159	83	76	16	21	37	67	55	122	5	12	17	256	137	119	-99999	-99999	-99999	137	119	256	35	25	60	415	220	195	16	21	37	204	174	378	40	37	77	804	131	251	44	208	36	202	31	143	20	827	143	262	39	218	49	199	35	148	20	100	661	111	51	99	1	16	-99999	167	162	20	130	99	371	4	787	0
43	VILLETTE-PAUL_BERT	693830501	119	55	63	3	1	4	52	62	114	4	3	8	190	86	104	-99999	4	4	86	101	187	3	15	19	309	141	167	3	5	8	138	163	301	7	18	27	502	59	183	25	120	12	121	11	78	11	506	59	181	15	118	15	112	11	95	18	100	424	48	13	49	3	4	-99999	70	50	4	57	63	309	-99999	483	0
44	PAUL_BERT-MAISONS_NEUVES	693830502	104	59	45	-99999	2	2	59	43	102	6	4	10	166	88	79	1	-99999	1	87	79	165	12	8	20	270	147	124	1	2	3	146	122	267	18	12	30	788	150	272	50	228	45	175	38	113	17	722	138	263	47	201	41	151	30	107	20	100	675	133	7	60	-99999	5	-99999	71	47	14	55	71	291	-99999	479	0
45	ROUGET-DE-LISLE-FELIX_FAURE	693830601	161	75	86	4	11	16	70	75	145	3	15	18	259	155	104	-99999	-99999	-99999	155	104	259	37	24	61	420	230	190	4	11	16	225	179	404	40	39	79	854	108	309	28	213	26	200	30	132	24	861	108	310	35	211	26	217	31	123	16	100	722	84	32	77	2	8	-99999	119	156	33	99	149	340	-99999	777	0
46	DAUPHINE-MONTLUC	693830602	122	67	55	5	7	12	63	48	111	13	8	21	233	104	129	3	-99999	3	101	129	230	8	18	26	355	171	184	8	7	15	164	177	341	21	26	47	688	153	221	58	205	43	149	28	113	24	680	159	226	60	189	44	154	28	111	27	100	575	129	30	53	-99999	7	4	94	101	10	132	144	292	-99999	680	0
47	SAINT_MAXIMIN-SISLEY	693830603	129	44	85	3	12	15	40	73	113	3	-99999	3	202	62	140	3	3	7	59	137	195	-99999	1	1	331	106	225	6	15	22	99	210	308	3	1	4	577	14	217	8	146	3	127	1	87	2	600	17	212	5	167	6	118	5	103	1	100	490	12	14	52	-99999	4	-99999	71	13	5	42	53	457	-99999	570	0
48	MONTBRILLAND-GUILLOUD	693830604	138	69	69	9	-99999	9	59	69	129	4	5	10	167	82	85	-99999	-99999	-99999	82	85	167	-99999	6	6	305	151	154	9	-99999	9	141	154	296	4	11	16	422	21	170	6	115	9	75	4	62	2	401	18	171	8	97	9	73	1	60	-99999	100	360	19	33	82	4	4	-99999	124	24	20	105	80	327	4	561	0
49	GENAS_CFEL	693830701	84	34	50	1	5	6	33	45	78	9	11	20	158	72	86	1	3	4	72	83	154	4	20	24	242	106	136	2	8	10	105	128	232	13	31	44	575	59	207	19	143	17	124	9	101	14	560	63	195	16	142	16	118	12	105	19	100	474	45	10	42	7	3	-99999	62	69	14	45	77	227	-99999	432	0
50	JULES_VERNE-ACACIAS	693830702	152	83	70	7	1	8	76	69	144	13	10	23	226	117	110	4	-99999	4	113	110	223	22	9	31	378	200	180	11	1	12	189	179	367	35	19	54	639	69	189	17	184	18	149	17	117	17	590	59	197	21	161	15	140	15	92	8	100	522	52	2	89	4	17	-99999	111	74	49	132	111	289	4	658	0
51	FEUILLAT_HARMONIE	693830801	82	38	43	7	7	14	31	36	68	10	5	15	119	51	68	-99999	4	4	51	64	115	12	10	22	201	89	111	7	11	18	82	100	183	22	15	37	331	61	103	18	94	20	71	13	63	10	354	55	109	15	100	21	75	11	70	8	100	268	51	22	82	6	1	-99999	110	74	16	45	52	183	-99999	371	0
52	TRARIEUX-LACASSAGNE	693830802	73	32	41	1	6	7	31	35	65	-99999	5	5	97	50	47	-99999	3	3	50	44	94	14	2	16	170	82	88	1	9	10	81	79	159	14	7	21	420	65	144	20	117	20	85	16	74	9	433	62	152	21	119	20	88	14	74	7	100	346	56	14	42	-99999	1	-99999	57	42	18	52	68	163	-99999	343	0
53	GRANGE_BLANCHE	693830803	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	100	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	0
54	CHAUSSAGNE_DESGENETTES	693830804	56	41	15	3	-99999	3	37	15	52	7	-99999	7	126	66	59	-99999	-99999	-99999	66	59	126	11	-99999	11	182	107	74	3	-99999	3	103	74	178	18	-99999	18	306	55	87	25	81	16	81	12	57	2	295	52	68	22	82	17	78	7	67	6	100	249	53	19	51	-99999	15	4	89	40	25	28	24	231	-99999	347	0
55	RICHARD_VITTON-DOCTEUR_LONG	693830901	233	117	116	7	22	29	110	94	203	8	5	14	272	127	145	3	3	7	124	141	266	16	27	43	505	244	261	10	25	36	234	235	469	24	32	57	812	86	260	28	221	29	184	18	147	11	743	70	242	21	190	28	188	15	123	6	100	665	75	15	113	4	12	-99999	143	129	34	122	114	476	7	882	0
56	HERBOUVILLE-GROS_CAILLOU	693840101	98	47	50	-99999	9	9	47	42	89	-99999	6	6	96	36	60	3	3	6	33	57	90	-99999	3	3	194	83	110	3	12	15	80	99	179	-99999	9	9	295	19	93	6	84	6	77	3	41	4	297	19	118	8	80	4	66	3	33	4	100	254	15	17	44	-99999	-99999	-99999	61	14	14	26	37	231	-99999	323	0
57	BOUCLE_LOUIS_THEVENET	693840102	107	67	40	3	-99999	3	64	40	104	13	1	14	177	91	86	-99999	-99999	-99999	91	86	177	19	13	32	284	158	126	3	-99999	3	155	126	281	32	14	46	472	48	165	13	114	16	117	9	76	10	456	50	141	14	106	15	122	10	87	11	100	396	38	13	54	1	19	-99999	87	85	6	66	76	258	-99999	491	0
58	CDT_ARNAUD-DUMONT_D'URVILLE	693840103	83	40	43	6	7	13	34	37	70	-99999	3	3	201	106	95	-99999	3	3	106	92	198	9	6	15	284	146	138	6	10	16	140	129	268	9	9	18	562	55	155	15	156	16	139	11	112	13	556	57	156	16	148	16	144	14	108	11	100	450	42	21	61	-99999	9	-99999	92	36	19	43	65	378	-99999	542	0
59	HOPITAL-SAINT_DENIS	693840201	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	7	3	3	-99999	-99999	-99999	3	3	7	-99999	-99999	-99999	7	3	3	-99999	-99999	-99999	3	3	7	-99999	-99999	-99999	41	-99999	15	-99999	17	-99999	3	-99999	6	-99999	32	1	13	-99999	9	-99999	4	-99999	6	1	100	35	-99999	-99999	11	-99999	-99999	-99999	11	-99999	-99999	3	3	33	-99999	40	0
60	GRANDE_RUE-BERTONE	693840202	99	43	56	6	6	12	37	50	86	-99999	10	10	118	44	74	3	3	7	41	71	112	6	6	13	217	87	130	9	9	19	78	121	198	6	16	23	339	24	121	9	96	7	65	6	57	2	360	19	131	6	95	5	79	6	55	2	100	282	22	9	15	-99999	-99999	-99999	25	32	12	25	47	228	-99999	343	0
61	PLACE_CROIX_ROUSSE-AUSTERLITZ	693840203	84	45	40	-99999	-99999	-99999	45	40	84	-99999	-99999	-99999	92	50	41	-99999	-99999	-99999	50	41	92	4	1	5	176	95	81	-99999	-99999	-99999	95	81	176	4	1	5	241	14	89	3	70	5	46	4	36	2	252	13	89	1	72	7	48	2	43	3	100	205	12	13	25	-99999	3	-99999	42	10	-99999	3	35	262	-99999	310	0
62	CUIRE_CANUTS	693840204	109	49	61	1	1	2	48	60	107	1	3	4	168	86	82	3	3	6	83	79	162	6	6	12	277	135	143	4	4	8	131	139	269	7	9	16	467	33	145	9	104	6	123	8	95	10	470	41	156	15	108	9	119	6	87	11	100	372	23	20	58	3	1	1	83	31	12	67	55	356	6	528	0
63	DELEUVRE-HENON	693840301	116	57	59	-99999	9	9	57	49	107	-99999	3	3	155	83	73	3	-99999	3	80	73	152	12	3	15	271	140	132	3	9	12	137	122	259	12	6	18	443	91	143	23	116	23	103	22	81	23	394	61	121	20	102	15	97	12	74	14	100	362	68	22	44	3	3	-99999	72	48	13	51	37	300	-99999	449	0
64	CANUTS-D'ENFERT_ROCHEREAU	693840302	67	33	34	3	-99999	3	30	34	64	3	3	6	106	49	57	-99999	-99999	-99999	49	57	106	3	4	7	173	82	91	3	-99999	3	79	91	170	6	7	13	399	45	107	10	95	10	107	17	90	8	392	44	107	12	100	14	108	12	77	6	100	309	37	6	85	3	-99999	-99999	94	34	15	52	50	219	-99999	370	0
65	MAIRIE-TABAREAU	693840303	109	60	49	-99999	7	7	60	41	102	3	12	16	155	94	61	3	-99999	3	91	61	151	6	3	9	264	154	110	3	7	10	151	102	253	9	15	25	464	40	125	11	129	9	120	10	90	10	454	35	116	7	123	6	121	11	94	11	100	374	30	14	84	-99999	4	-99999	102	38	9	63	43	308	-99999	460	0
66	SAINT-EXUPERY-POPY	693840401	72	37	35	-99999	4	4	37	31	68	4	-99999	4	84	40	44	-99999	-99999	-99999	40	44	84	-99999	-99999	-99999	156	77	79	-99999	4	4	77	75	152	4	-99999	4	262	2	83	1	83	-99999	51	-99999	45	1	248	3	76	2	68	-99999	54	-99999	50	1	100	217	1	-99999	51	1	-99999	-99999	53	12	4	11	35	223	-99999	286	0
67	FLAMMARION_BONY	693840402	55	25	31	1	3	4	24	28	51	3	4	7	119	58	62	1	-99999	1	57	62	118	7	8	15	174	83	93	2	3	5	81	90	169	10	12	22	348	56	71	18	97	15	104	13	76	10	362	70	76	20	95	22	106	14	85	14	100	272	46	8	59	-99999	3	-99999	70	56	20	45	43	139	28	330	0
68	BONY_BONNET	693840403	70	40	30	-99999	9	9	40	21	61	-99999	-99999	-99999	123	64	60	-99999	-99999	-99999	64	60	123	-99999	-99999	-99999	193	104	90	-99999	9	9	104	81	184	-99999	-99999	-99999	301	15	93	5	83	4	63	3	62	3	317	11	108	3	78	1	69	3	62	4	100	239	12	18	36	-99999	3	-99999	57	9	-99999	28	58	236	-99999	331	0
69	LYON_PLAGE-YPRES	693840501	95	42	53	1	-99999	1	41	53	94	8	3	12	166	93	73	-99999	1	1	93	72	165	1	3	4	261	135	126	1	1	2	134	125	259	9	6	16	480	38	140	14	112	8	120	7	108	9	514	50	144	17	126	8	126	12	118	13	100	372	29	20	61	2	1	-99999	84	37	14	64	62	220	69	466	0
70	GILLET_SEREIN	693840502	66	37	28	3	3	6	34	25	60	9	-99999	9	143	69	75	1	-99999	1	68	75	142	5	12	17	209	106	103	4	3	7	102	100	202	14	12	26	451	42	123	11	105	11	114	9	109	11	439	38	142	12	102	12	102	8	93	6	100	342	31	27	75	4	15	-99999	122	53	11	37	76	268	-99999	444	0
71	SAINT_PAUL	693850101	48	28	20	-99999	-99999	-99999	28	20	48	-99999	-99999	-99999	51	13	38	-99999	-99999	-99999	13	38	51	-99999	6	6	99	41	58	-99999	-99999	-99999	41	58	99	-99999	6	6	186	8	63	-99999	49	4	38	1	36	3	206	10	72	2	44	1	47	2	43	5	100	150	5	7	23	5	19	-99999	54	11	13	11	26	113	-99999	174	0
72	SAINT_JEAN	693850102	27	16	12	-99999	6	6	16	6	22	-99999	3	3	62	31	31	-99999	-99999	-99999	31	31	62	4	3	7	89	47	43	-99999	6	6	47	37	84	4	6	10	191	25	52	12	46	3	51	4	42	6	210	23	70	10	44	3	59	3	37	7	100	149	19	3	43	3	-99999	-99999	48	19	13	11	36	121	-99999	200	0
73	SAINT_GEORGES	693850103	31	20	11	-99999	-99999	-99999	20	11	31	-99999	2	2	87	34	53	-99999	-99999	-99999	34	53	87	3	2	6	118	54	64	-99999	-99999	-99999	54	64	118	3	4	8	247	28	58	4	70	10	59	6	60	8	245	30	62	5	59	9	69	10	55	6	100	187	20	5	37	-99999	3	-99999	45	16	5	10	37	146	-99999	213	0
74	QUARANTAINE-LES_ETROITS	693850104	46	19	27	-99999	7	7	19	20	39	-99999	3	3	119	67	52	4	-99999	4	64	52	115	10	6	17	165	86	79	4	7	11	83	72	154	10	9	20	280	28	85	11	68	11	66	2	61	4	277	29	79	10	65	12	75	5	58	2	100	219	24	17	55	3	6	-99999	82	26	14	17	70	155	11	292	0
75	FOURVIERE-ANTIQUAILLE	693850201	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	15	15	-99999	-99999	-99999	-99999	15	-99999	15	-99999	-99999	-99999	15	15	-99999	-99999	-99999	-99999	15	-99999	15	-99999	-99999	-99999	62	4	13	3	13	-99999	18	-99999	18	1	73	7	15	3	17	2	20	-99999	21	2	100	44	3	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	5	14	-99999	20	0
76	LA_SARRA	693850202	37	15	22	-99999	-99999	-99999	15	22	37	3	3	7	57	32	25	-99999	-99999	-99999	32	25	57	-99999	3	3	94	47	47	-99999	-99999	-99999	47	47	94	3	6	10	196	54	56	20	50	16	55	11	35	7	190	58	55	20	46	16	46	13	43	9	100	161	47	27	8	8	4	-99999	47	24	-99999	18	21	145	-99999	208	0
77	LOYASSE-SAINT_JUST	693850203	103	55	48	5	1	6	50	47	97	4	7	11	157	74	83	1	1	2	73	82	155	8	16	24	260	129	131	6	2	8	123	129	252	12	23	35	484	71	154	21	142	17	102	19	86	14	493	58	157	18	136	15	105	12	95	13	100	398	57	20	55	11	4	-99999	90	84	37	70	54	264	7	516	0
78	RADISSON-CHOULANS	693850204	50	33	17	1	3	4	32	14	46	-99999	-99999	-99999	90	41	49	-99999	-99999	-99999	41	49	90	-99999	1	1	140	74	66	1	3	4	73	63	136	-99999	1	1	331	105	89	15	67	22	82	29	93	39	233	14	75	4	54	1	53	3	51	6	100	238	66	23	49	-99999	-99999	-99999	72	6	6	12	29	212	12	278	0
79	CHAMPVERT_SUD	693850301	133	43	90	-99999	8	8	43	81	125	9	25	34	154	87	67	-99999	1	1	87	66	153	28	18	46	287	130	157	-99999	9	9	130	147	278	37	43	80	509	112	152	35	143	29	127	33	87	15	455	87	135	31	127	25	105	23	88	8	100	422	97	32	52	6	-99999	-99999	89	133	22	160	52	136	-99999	503	0
80	CHAMPVERT_MAIRIE	693850302	69	29	40	-99999	5	5	29	35	64	12	5	17	131	66	65	3	1	4	63	64	127	9	14	23	200	95	105	3	6	9	92	99	191	21	19	40	615	183	162	56	148	48	159	39	146	40	630	192	172	56	150	45	158	48	150	43	100	469	143	28	93	6	3	-99999	130	87	16	112	70	196	-99999	481	0
81	DEBROUSSE	693850401	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	11	8	3	-99999	-99999	-99999	8	3	11	-99999	-99999	-99999	11	8	3	-99999	-99999	-99999	8	3	11	-99999	-99999	-99999	18	-99999	2	-99999	5	-99999	7	-99999	4	-99999	17	-99999	5	-99999	2	-99999	6	-99999	4	-99999	100	14	-99999	2	2	-99999	-99999	-99999	3	-99999	-99999	-99999	-99999	27	-99999	27	0
82	SAINT_IRENEE	693850402	13	13	-99999	-99999	-99999	-99999	13	-99999	13	-99999	-99999	-99999	19	10	9	-99999	-99999	-99999	10	9	19	-99999	-99999	-99999	32	23	9	-99999	-99999	-99999	23	9	32	-99999	-99999	-99999	79	-99999	28	-99999	23	-99999	13	-99999	15	-99999	87	1	35	1	22	-99999	14	-99999	16	-99999	100	64	-99999	-99999	20	-99999	4	-99999	24	-99999	5	27	19	41	-99999	93	0
83	LES_CASTORS-LES_GRANGES	693850403	64	23	41	-99999	6	6	23	35	58	-99999	-99999	-99999	132	65	67	-99999	-99999	-99999	65	67	132	4	11	14	196	88	108	-99999	6	6	88	102	190	4	11	14	479	17	152	7	120	5	109	2	98	3	505	23	166	9	119	6	125	4	95	4	100	381	14	15	43	3	4	1	65	28	4	56	47	248	-99999	383	0
84	ALBERIC_PONT	693850404	64	25	39	-99999	2	2	25	37	62	8	3	11	89	42	47	-99999	-99999	-99999	42	47	89	8	7	15	153	67	86	-99999	2	2	67	84	151	16	10	26	452	35	161	13	104	12	109	6	78	4	445	46	155	17	96	11	114	10	80	8	100	374	31	8	45	-99999	5	-99999	57	48	12	49	41	139	-99999	289	0
85	LES_BATTIERES	693850501	110	67	43	3	-99999	3	64	43	107	7	4	11	149	74	75	-99999	-99999	-99999	74	75	149	11	4	15	259	141	118	3	-99999	3	138	118	256	18	8	26	562	52	189	17	129	17	126	10	118	8	556	47	190	14	126	13	133	9	107	11	100	444	44	16	55	-99999	-99999	-99999	71	36	35	91	61	185	3	411	0
86	MENIVAL	693850502	141	65	77	7	6	13	57	71	128	17	16	33	156	66	90	-99999	5	5	66	85	151	15	33	47	297	131	167	7	11	18	123	156	279	32	49	80	573	89	170	32	145	24	152	22	106	11	548	94	168	36	145	29	133	21	102	8	100	467	78	10	76	-99999	3	3	93	149	6	93	95	213	15	572	0
87	PIERRE_VALDO	693850503	51	15	35	6	-99999	6	9	35	44	3	9	12	96	36	60	-99999	-99999	-99999	36	60	96	13	7	20	147	51	95	6	-99999	6	45	95	140	16	16	32	374	74	112	28	83	19	85	9	94	18	374	71	96	21	88	23	89	10	101	17	100	280	56	9	89	4	7	7	115	54	32	42	55	147	9	338	0
88	LA_PLAINE_CHARCOT	693850504	129	54	74	2	3	5	52	72	123	6	3	9	180	82	98	3	-99999	3	79	98	177	12	19	31	309	136	172	5	3	8	131	170	300	18	22	40	612	59	142	15	157	18	175	14	138	12	541	54	133	10	128	20	155	11	125	13	100	474	47	15	81	9	6	-99999	110	82	6	98	74	323	21	604	0
89	JOLIOT_CURIE-LES_ACQUEDUCS	693850601	112	54	58	7	4	11	47	54	101	5	17	22	176	85	91	1	4	5	84	87	171	14	9	23	288	139	149	8	8	16	131	141	272	19	26	45	628	43	188	9	163	13	157	12	120	9	639	40	196	11	166	10	153	12	124	7	100	508	34	26	64	1	3	-99999	93	97	13	93	104	243	-99999	550	0
90	POINT_DU_JOUR	693850602	42	17	25	-99999	1	1	17	24	41	-99999	3	3	115	63	52	2	1	3	61	51	112	10	9	19	157	80	77	2	2	4	78	75	153	10	12	22	258	17	64	3	60	5	71	4	63	5	275	21	65	4	66	6	80	4	64	7	100	195	12	40	37	3	1	-99999	82	35	2	37	32	163	26	294	0
91	LA_GARDE	693850603	76	43	34	11	-99999	11	32	34	65	4	1	5	84	37	47	-99999	-99999	-99999	37	47	84	3	7	10	160	80	81	11	-99999	11	69	81	149	7	8	15	268	2	80	-99999	70	2	72	-99999	46	-99999	298	11	95	1	87	5	67	3	49	2	100	222	2	10	42	3	-99999	-99999	55	40	3	36	47	145	-99999	272	0
92	CITE_INTERNATIONALE	693860101	16	8	8	1	-99999	1	7	8	15	-99999	3	3	33	19	14	-99999	-99999	-99999	19	14	33	4	1	5	49	27	22	1	-99999	1	26	22	48	4	4	8	95	-99999	24	-99999	31	-99999	20	-99999	20	-99999	110	-99999	31	-99999	28	-99999	29	-99999	22	-99999	100	75	-99999	5	12	1	-99999	-99999	19	15	-99999	4	8	79	-99999	106	0
93	LE_PARC	693860102	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	3	1	-99999	-99999	1	-99999	2	1	-99999	-99999	100	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	0
94	LES_BELGES	693860103	43	24	19	-99999	-99999	-99999	24	19	43	5	-99999	5	108	53	56	-99999	-99999	-99999	53	56	108	3	11	13	151	77	75	-99999	-99999	-99999	77	75	151	8	11	18	338	-99999	82	-99999	90	-99999	95	-99999	71	-99999	336	5	83	2	90	3	87	-99999	76	-99999	100	267	-99999	13	69	3	3	-99999	87	26	3	26	13	264	-99999	333	0
95	L'HELVETIE	693860104	135	66	69	3	8	11	63	61	124	5	19	25	160	53	107	-99999	3	3	53	104	157	3	5	8	295	119	176	3	11	14	116	165	281	8	24	33	500	15	120	7	138	4	148	1	94	3	529	21	138	8	140	7	144	2	107	4	100	406	12	16	89	3	3	-99999	111	52	3	31	27	410	-99999	524	0
96	PUVIS_DE_CHAVANNES	693860201	67	26	41	4	4	7	22	38	60	-99999	1	1	101	61	40	3	-99999	3	58	40	98	2	3	5	168	87	81	7	4	10	80	78	158	2	4	6	395	19	116	2	87	5	108	5	84	7	388	19	112	3	86	5	114	6	76	5	100	311	12	5	42	-99999	5	-99999	53	14	5	8	21	249	9	306	0
97	MONGOLFIER-LE_LYCEE	693860202	94	55	39	-99999	-99999	-99999	55	39	94	3	-99999	3	180	81	99	3	-99999	3	78	99	177	6	3	9	274	136	138	3	-99999	3	133	138	271	9	3	12	517	2	118	2	147	-99999	144	-99999	108	-99999	537	3	125	1	167	2	143	-99999	102	-99999	100	409	2	13	84	-99999	21	-99999	118	21	18	30	49	454	-99999	572	0
98	MARECHAL_LYAUTEY	693860301	87	40	46	-99999	8	8	40	38	79	-99999	-99999	-99999	145	62	83	-99999	-99999	-99999	62	83	145	-99999	-99999	-99999	232	102	129	-99999	8	8	102	121	224	-99999	-99999	-99999	514	37	132	9	122	11	138	3	122	14	497	30	126	8	111	6	144	4	116	12	100	392	23	8	90	-99999	4	-99999	102	-99999	3	3	34	434	-99999	473	0
99	KLEBER	693860302	97	60	37	-99999	-99999	-99999	60	37	97	-99999	9	9	136	57	79	-99999	-99999	-99999	57	79	136	3	5	8	233	117	116	-99999	-99999	-99999	117	116	233	3	14	17	438	11	128	5	121	5	105	1	84	-99999	432	20	126	8	118	4	100	1	88	7	100	354	11	12	65	6	5	-99999	87	25	3	29	32	340	-99999	428	0
