0	libel	codeINSEE	2011-3 à 5 ans-Insee RP (compl	2011-F -3 à 5 ans-Insee RP (compl 	2011-G -3 à 5 ans-Insee RP (compl 	2011-F  Non scolarisée-3 à 5 ans-Insee RP (compl 	2011-G  Non scolarisé-3 à 5 ans-Insee RP (compl 	2011-3 à 5 ans Non scolarisé-Insee RP (compl 	2011-F   scolarisée-3 à 5 ans-Insee RP (compl 	2011-G   scolarisé-3 à 5 ans-Insee RP (compl 	2011-3 à 5 ans  scolarisé-Insee RP (compl 	2011-F -3 à 5 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -3 à 5 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-3 à 5 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2011-6 à 10 ans-Insee RP (compl,	2011-F,-6 à 10 ans-Insee RP (compl,	2011-G,-6 à 10 ans-Insee RP (compl,	2011-F, Non scolarisée-6 à 10 ans-Insee RP (compl,	2011-G, Non scolarisé-6 à 10 ans-Insee RP (compl,	2011-6 à 10 ans Non scolarisé-Insee RP (compl,	2011-F,  scolarisée-6 à 10 ans-Insee RP (compl,	2011-G,  scolarisé-6 à 10 ans-Insee RP (compl,	2011-6 à 10 ans  scolarisé-Insee RP (compl,	2011-F -6 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -6 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-6 à 10 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2011-3 à 10 ans-Insee RP (compl 	2011-F -3 à 10 ans-Insee RP (compl 	2011-G -3 à 10 ans-Insee RP (compl 	2011-F  Non scolarisée-3 à 10 ans-Insee RP (compl 	2011-G  Non scolarisé-3 à 10 ans-Insee RP (compl 	2011-3 à 10 ans Non scolarisé-Insee RP (compl 	2011-F   scolarisée-3 à 10 ans-Insee RP (compl 	2011-G   scolarisé-3 à 10 ans-Insee RP (compl 	2011-3 à 10 ans  scolarisé-Insee RP (compl 	2011-F -3 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-G -3 à 10 ans dont Réf  Ménage Infra DNB -Insee RP (compl 	2011-3 à 10 ans dont Réf  Ménage Infra DNB-Insee RP (compl 	2012 - Pop couverte 0-19ans - CPAM Trait  ARS	2012 - CMUC 0-19ans - CPAM Trait  ARS	2012 - Pop couverte 0-4ans - CPAM Trait  ARS	2012 - CMUC 0-4ans - CPAM Trait  ARS	2012 - Pop couverte 5-9ans - CPAM Trait  ARS	2012 - CMUC 5-9ans - CPAM Trait  ARS	2012 - Pop couverte 10-14ans - CPAM Trait  ARS	2012 - CMUC 10-14ans - CPAM Trait  ARS	2012 - Pop couverte 15-19ans - CPAM Trait  ARS	2012 - CMUC 15-19ans - CPAM Trait  ARS	2011 - Pop couverte 0-19ans - CPAM Trait  ARS	2011 - CMUC 0-19ans - CPAM Trait  ARS	2011 - Pop couverte 0-4ans - CPAM Trait  ARS	2011 - CMUC 0-4ans - CPAM Trait  ARS	2011 - Pop couverte 5-9ans - CPAM Trait  ARS	2011 - CMUC 5-9ans - CPAM Trait  ARS	2011 - Pop couverte 10-14ans - CPAM Trait  ARS	2011 - CMUC 10-14ans - CPAM Trait  ARS	2011 - Pop couverte 15-19ans - CPAM Trait  ARS	2011 - CMUC 15-19ans - CPAM Trait  ARS	Constante100	2012 - Pop couverte 0-14ans - CPAM Trait  ARS	2012 - CMUC 0-14ans - CPAM Trait  ARS	2011- 15-17 ans X Infra DNB-Insee RP 2011 (compl,	2011- 15-17 ans X DNB-Insee RP 2011 (compl,	2011- 15-17 ans X CAP BEP-Insee RP 2011 (compl,	2011- 15-17 ans X Bac ou équiv,-Insee RP 2011 (compl,	2011- 15-17 ans X Supérieur-Insee RP 2011 (compl,	2011- 15-17 ans X Total-Insee RP 2011 (compl,	2011- 2-16 ans dont Réft mén, Infra DNB Insee RP (compl,	2011- 2-16 ans dont Réft mén, DNB Insee RP (compl,	2011- 2-16 ans dont Réft mén, CAP BEP Insee RP (compl,	2011- 2-16 ans dont Réft mén, Bac ou Equiv, Insee RP (compl,	2011- 2-16 ans dont Réft mén, Dipl, supérieur Insee RP (compl,	2011- 2-16 ans dont Réft mén, Hors famille Insee RP (compl,	2011- 2-16 ans dont Réft mén, Total Insee RP (compl,	0
12	LA_BOURSE-GRENETTE	693820101	49	19	30	3	-99999	3	16	30	46	1	-99999	1	74	49	25	-99999	-99999	-99999	49	25	74	4	-99999	4	123	68	55	3	-99999	3	65	55	120	5	-99999	5	286	13	84	3	61	2	77	3	64	5	292	18	93	5	59	3	81	7	59	3	100	222	8	15	34	4	-99999	-99999	54	23	5	22	25	189	-99999	264	0
13	MERCIERE-GROLEE	693820102	76	44	33	3	-99999	3	41	33	73	6	8	14	126	56	70	-99999	-99999	-99999	56	70	126	8	17	26	202	100	103	3	-99999	3	97	103	199	14	25	40	289	22	73	6	96	10	75	4	45	2	300	35	83	11	87	14	82	8	48	2	100	244	20	17	49	3	-99999	-99999	69	61	12	49	55	157	-99999	333	0
14	JACOBINS	693820103	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	4	-99999	1	-99999	-99999	-99999	1	-99999	2	-99999	3	-99999	1	-99999	5	-99999	1	-99999	1	-99999	100	2	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	0
15	HOTEL_DIEU	693820201	9	6	3	-99999	-99999	-99999	6	3	9	-99999	-99999	-99999	9	3	6	-99999	-99999	-99999	3	6	9	-99999	3	3	18	9	9	-99999	-99999	-99999	9	9	18	-99999	3	3	27	-99999	8	-99999	4	-99999	10	-99999	5	-99999	24	1	4	-99999	88	6	9	-99999	6	1	100	22	-99999	-99999	6	-99999	-99999	-99999	6	6	-99999	3	-99999	21	3	33	0
16	BELLECOUR-A_GOURJUS	693820202	48	26	22	3	-99999	3	23	22	45	-99999	-99999	-99999	78	41	38	-99999	-99999	-99999	41	38	78	-99999	-99999	-99999	126	67	60	3	-99999	3	64	60	123	-99999	-99999	-99999	326	7	79	1	95	4	92	-99999	60	2	333	16	90	4	74	5	95	2	60	4	100	266	5	12	58	-99999	9	-99999	80	-99999	3	12	25	246	-99999	285	0
17	GRANDE_POSTE	693820203	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	100	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	0
18	BELLECOUR-SALA	693820204	68	35	33	-99999	7	7	35	25	60	10	-99999	10	107	44	63	-99999	-99999	-99999	44	63	107	2	-99999	2	175	79	96	-99999	7	7	79	88	167	12	-99999	12	307	10	85	3	84	3	73	2	65	2	291	13	77	3	92	2	76	2	64	3	100	242	8	7	62	2	21	-99999	94	20	8	5	53	264	4	353	0
19	VAUBECOUR-MAIRIE	693820301	95	50	45	9	7	16	41	38	79	-99999	-99999	-99999	143	64	79	-99999	-99999	-99999	64	79	143	-99999	-99999	-99999	238	114	124	9	7	16	105	117	222	-99999	-99999	-99999	382	4	104	3	99	1	96	-99999	83	-99999	390	8	100	4	84	3	100	1	98	1	100	299	4	15	94	3	11	3	127	3	3	18	38	402	11	474	0
20	AMPERE-AINAY	693820302	85	46	39	1	3	4	45	36	81	-99999	6	6	159	64	95	-99999	-99999	-99999	64	95	159	-99999	6	6	244	110	134	1	3	4	109	131	240	-99999	12	12	384	85	112	24	87	17	85	8	100	36	360	53	110	20	61	-99999	80	2	86	28	100	284	49	6	93	3	9	-99999	110	17	17	17	42	334	-99999	428	0
21	GAILLETON-A,_COMTE	693820401	56	14	42	-99999	6	6	14	36	51	-99999	3	3	70	38	32	-99999	-99999	-99999	38	32	70	-99999	3	3	126	52	74	-99999	6	6	52	68	121	-99999	6	6	280	5	86	1	64	1	64	2	66	1	290	8	88	2	113	4	81	2	60	4	100	214	4	20	24	-99999	3	-99999	48	12	9	6	47	174	3	251	0
22	CARNOT-CHARITE	693820402	113	62	50	3	12	15	59	39	98	-99999	6	6	166	87	79	3	-99999	3	84	79	164	-99999	-99999	-99999	279	149	129	6	12	18	143	118	262	-99999	6	6	445	8	150	1	104	3	96	1	95	3	457	19	152	4	7	3	94	4	98	7	100	350	5	25	51	3	16	-99999	95	16	18	59	55	352	2	502	0
23	MONTROCHET-MARCHE_GARE	693820501	17	11	6	-99999	3	3	11	3	14	-99999	-99999	-99999	15	4	11	-99999	-99999	-99999	4	11	15	-99999	3	3	32	15	17	-99999	3	3	15	14	29	-99999	3	3	32	11	7	1	9	2	7	4	9	4	36	11	12	1	66	5	8	5	9	2	100	23	7	6	1	-99999	1	-99999	8	6	-99999	-99999	3	6	43	58	0
24	RAMBAUD-SEGUIN	693820502	91	31	60	1	2	3	30	58	88	6	1	7	164	86	78	1	1	2	85	76	161	15	8	23	255	117	138	2	3	5	115	134	249	21	9	30	496	42	205	22	119	8	98	7	74	5	280	13	97	5	45	20	63	1	54	2	100	422	37	17	55	2	8	-99999	82	71	35	79	63	239	2	489	0
25	VERDUN-SUCHET	693820503	19	14	4	1	-99999	1	13	4	17	-99999	-99999	-99999	60	42	19	-99999	4	4	42	14	56	1	1	2	79	56	23	1	4	5	55	18	73	1	1	2	203	79	74	33	47	20	40	10	42	16	200	77	72	27	113	38	40	12	43	18	100	161	63	16	20	-99999	-99999	-99999	36	34	13	40	35	29	20	172	0
26	SAINTE_BLANDINE-CASIMIR_PERIER	693820504	112	58	54	6	4	10	53	50	103	14	10	23	151	61	89	-99999	3	3	61	87	148	15	30	45	263	119	143	6	7	13	114	137	251	29	40	68	478	123	138	40	105	34	122	24	113	25	488	114	137	30	-99999	-99999	132	25	106	21	100	365	98	18	45	3	3	-99999	68	139	29	87	78	174	14	520	0
27	PREFECTURE	693830101	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	23	4	2	1	-99999	-99999	6	2	15	1	19	1	-99999	-99999	-99999	-99999	10	-99999	9	1	100	8	3	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	-99999	0
28	JUSSIEU	693830102	51	48	3	7	-99999	7	41	3	44	-99999	-99999	-99999	56	36	20	-99999	-99999	-99999	36	20	56	-99999	-99999	-99999	107	84	23	7	-99999	7	77	23	100	-99999	-99999	-99999	251	16	73	5	63	6	66	2	49	3	245	13	78	6	62	4	59	1	46	2	100	202	13	3	40	3	-99999	-99999	47	3	4	28	-99999	183	1	219	0
29	LES_HALLES	693830103	71	40	30	-99999	-99999	-99999	40	30	71	4	7	10	116	58	58	-99999	-99999	-99999	58	58	116	7	7	14	187	98	88	-99999	-99999	-99999	98	88	187	11	14	24	298	14	91	1	71	3	65	4	71	6	315	18	108	4	66	3	71	5	70	6	100	227	8	27	52	-99999	7	3	89	34	3	34	100	179	-99999	350	0
30	BONNEL-SERVIENT	693830104	46	17	29	3	-99999	3	14	29	43	-99999	-99999	-99999	92	45	47	-99999	-99999	-99999	45	47	92	7	3	10	138	62	76	3	-99999	3	59	76	135	7	3	10	504	138	150	23	121	30	115	39	118	46	465	97	146	12	98	6	114	29	107	50	100	386	92	8	30	-99999	3	-99999	41	20	7	22	17	224	-99999	289	0
31	MUTUALITE-LIBERTE	693830105	70	41	29	-99999	3	3	41	26	67	3	-99999	3	106	50	56	-99999	-99999	-99999	50	56	106	1	7	8	176	91	85	-99999	3	3	91	82	173	4	7	11	345	22	144	10	77	7	65	3	59	2	347	22	127	5	87	8	64	3	69	6	100	286	20	10	40	3	2	-99999	56	21	3	9	23	253	7	317	0
32	MONCEY	693830201	84	49	35	4	4	7	45	32	77	17	10	27	88	44	44	-99999	3	3	44	40	85	17	7	24	172	93	79	4	7	10	89	72	162	34	17	51	371	146	114	40	95	41	75	30	87	35	405	166	143	52	96	40	80	35	86	39	100	284	111	26	21	7	9	-99999	62	75	14	20	65	103	23	300	0
33	VOLTAIRE	693830202	83	35	49	4	3	8	30	45	76	1	9	10	100	41	58	-99999	2	2	41	56	98	4	7	12	183	76	107	4	5	10	71	101	174	5	16	22	410	80	137	26	114	22	80	16	79	16	440	106	154	33	127	30	89	22	70	21	100	331	64	16	42	-99999	3	1	62	54	13	34	56	183	-99999	340	0
34	SAXE-VILEROY	693830203	51	35	17	4	-99999	4	31	17	48	-99999	-99999	-99999	89	52	37	-99999	-99999	-99999	52	37	89	10	-99999	10	140	87	54	4	-99999	4	83	54	137	10	-99999	10	367	32	128	7	93	12	83	8	63	5	362	38	136	14	99	16	71	4	56	4	100	304	27	15	5	-99999	4	-99999	24	12	12	15	54	155	-99999	247	0
35	SAINT_AMOUR	693830204	60	33	27	-99999	-99999	-99999	33	27	60	3	-99999	3	67	49	18	-99999	-99999	-99999	49	18	67	4	3	7	127	82	45	-99999	-99999	-99999	82	45	127	7	3	10	429	89	130	26	113	23	104	18	82	22	418	91	119	24	117	27	102	19	80	21	100	347	67	16	42	6	15	3	82	51	1	45	42	168	-99999	307	0
36	MAIRIE-SAINT_SACREMENT	693830205	52	28	24	4	-99999	4	24	24	48	3	4	7	77	37	39	-99999	1	1	37	38	76	3	10	13	129	65	63	4	1	5	61	62	124	6	14	20	284	36	102	12	77	5	56	7	49	12	280	37	103	12	71	5	56	10	50	10	100	235	24	21	32	3	4	-99999	61	47	6	69	33	100	2	256	0
37	PART_DIEU	693830301	63	26	38	-99999	-99999	-99999	26	38	63	3	7	10	112	49	63	-99999	-99999	-99999	49	63	112	7	14	20	175	75	101	-99999	-99999	-99999	75	101	175	10	21	30	476	100	146	27	122	29	127	32	81	12	448	87	143	28	110	19	118	26	77	14	100	395	88	4	54	7	-99999	-99999	64	59	34	68	65	116	3	346	0
